Temperature (K);Pressure (MPa);Liquid Density (l, kg/m3);Vapor Density (v, kg/m3);Liquid Internal Energy (l, kJ/kg);Vapor Internal Energy (v, kJ/kg);Liquid Enthalpy (l, kJ/kg);Vapor Enthalpy (v, kJ/kg)
216.59;0.51796;1178.5;13.761;79.596;392.78;80.036;430.42
216.74;0.52126;1177.9;13.844;79.879;392.82;80.321;430.47
216.88;0.52457;1177.4;13.928;80.162;392.86;80.607;430.52
217.03;0.52789;1176.9;14.013;80.445;392.91;80.893;430.58
217.18;0.53124;1176.4;14.097;80.728;392.95;81.179;430.63
217.32;0.53459;1175.8;14.182;81.011;392.99;81.466;430.69
217.47;0.53797;1175.3;14.268;81.294;393.03;81.752;430.74
217.61;0.54136;1174.8;14.354;81.577;393.08;82.038;430.79
217.76;0.54476;1174.3;14.440;81.860;393.12;82.324;430.85
217.91;0.54818;1173.7;14.527;82.144;393.16;82.611;430.90
218.05;0.55162;1173.2;14.614;82.427;393.21;82.897;430.95
218.20;0.55508;1172.7;14.702;82.710;393.25;83.183;431.00
218.34;0.55855;1172.2;14.789;82.993;393.29;83.470;431.06
218.49;0.56203;1171.6;14.878;83.277;393.33;83.756;431.11
218.63;0.56554;1171.1;14.967;83.560;393.37;84.043;431.16
218.78;0.56906;1170.6;15.056;83.844;393.42;84.330;431.21
218.93;0.57259;1170.0;15.145;84.127;393.46;84.616;431.26
219.07;0.57615;1169.5;15.235;84.411;393.50;84.903;431.32
219.22;0.57972;1169.0;15.326;84.694;393.54;85.190;431.37
219.36;0.58330;1168.5;15.417;84.978;393.58;85.477;431.42
219.51;0.58690;1167.9;15.508;85.261;393.62;85.764;431.47
219.66;0.59052;1167.4;15.599;85.545;393.66;86.051;431.52
219.80;0.59416;1166.9;15.692;85.829;393.70;86.338;431.57
219.95;0.59781;1166.3;15.784;86.112;393.75;86.625;431.62
220.09;0.60148;1165.8;15.877;86.396;393.79;86.912;431.67
220.24;0.60517;1165.3;15.970;86.680;393.83;87.199;431.72
220.39;0.60887;1164.7;16.064;86.964;393.87;87.487;431.77
220.53;0.61259;1164.2;16.158;87.248;393.91;87.774;431.82
220.68;0.61633;1163.7;16.253;87.532;393.95;88.061;431.87
220.82;0.62009;1163.1;16.348;87.816;393.99;88.349;431.92
220.97;0.62386;1162.6;16.444;88.100;394.03;88.636;431.97
221.11;0.62765;1162.1;16.540;88.384;394.07;88.924;432.02
221.26;0.63146;1161.5;16.636;88.668;394.11;89.212;432.06
221.41;0.63528;1161.0;16.733;88.952;394.15;89.499;432.11
221.55;0.63912;1160.5;16.830;89.236;394.19;89.787;432.16
221.70;0.64298;1159.9;16.928;89.521;394.23;90.075;432.21
221.84;0.64686;1159.4;17.026;89.805;394.26;90.363;432.26
221.99;0.65075;1158.8;17.125;90.089;394.30;90.651;432.30
222.14;0.65466;1158.3;17.224;90.374;394.34;90.939;432.35
222.28;0.65859;1157.8;17.323;90.658;394.38;91.227;432.40
222.43;0.66254;1157.2;17.423;90.943;394.42;91.515;432.45
222.57;0.66650;1156.7;17.524;91.227;394.46;91.803;432.49
222.72;0.67049;1156.2;17.625;91.512;394.50;92.092;432.54
222.87;0.67449;1155.6;17.726;91.796;394.53;92.380;432.59
223.01;0.67851;1155.1;17.828;92.081;394.57;92.668;432.63
223.16;0.68254;1154.5;17.930;92.366;394.61;92.957;432.68
223.30;0.68660;1154.0;18.033;92.651;394.65;93.246;432.72
223.45;0.69067;1153.5;18.136;92.935;394.69;93.534;432.77
223.59;0.69476;1152.9;18.239;93.220;394.72;93.823;432.81
223.74;0.69887;1152.4;18.343;93.505;394.76;94.112;432.86
223.89;0.70299;1151.8;18.448;93.790;394.80;94.400;432.90
224.03;0.70714;1151.3;18.553;94.075;394.84;94.689;432.95
224.18;0.71130;1150.7;18.659;94.360;394.87;94.978;432.99
224.32;0.71548;1150.2;18.765;94.645;394.91;95.267;433.04
224.47;0.71968;1149.7;18.871;94.931;394.95;95.557;433.08
224.62;0.72390;1149.1;18.978;95.216;394.98;95.846;433.13
224.76;0.72814;1148.6;19.085;95.501;395.02;96.135;433.17
224.91;0.73239;1148.0;19.193;95.786;395.06;96.424;433.21
225.05;0.73666;1147.5;19.301;96.072;395.09;96.714;433.26
225.20;0.74096;1146.9;19.410;96.357;395.13;97.003;433.30
225.35;0.74527;1146.4;19.520;96.643;395.16;97.293;433.34
225.49;0.74960;1145.8;19.629;96.928;395.20;97.582;433.39
225.64;0.75395;1145.3;19.740;97.214;395.23;97.872;433.43
225.78;0.75831;1144.7;19.851;97.500;395.27;98.162;433.47
225.93;0.76270;1144.2;19.962;97.785;395.31;98.452;433.51
226.08;0.76711;1143.6;20.074;98.071;395.34;98.742;433.56
226.22;0.77153;1143.1;20.186;98.357;395.38;99.032;433.60
226.37;0.77597;1142.5;20.299;98.643;395.41;99.322;433.64
226.51;0.78044;1142.0;20.412;98.929;395.45;99.612;433.68
226.66;0.78492;1141.4;20.526;99.215;395.48;99.902;433.72
226.80;0.78942;1140.9;20.640;99.501;395.51;100.19;433.76
226.95;0.79394;1140.3;20.755;99.787;395.55;100.48;433.80
227.10;0.79848;1139.8;20.870;100.07;395.58;100.77;433.84
227.24;0.80304;1139.2;20.986;100.36;395.62;101.06;433.88
227.39;0.80761;1138.7;21.102;100.65;395.65;101.35;433.92
227.53;0.81221;1138.1;21.219;100.93;395.68;101.65;433.96
227.68;0.81683;1137.6;21.336;101.22;395.72;101.94;434.00
227.83;0.82146;1137.0;21.454;101.50;395.75;102.23;434.04
227.97;0.82612;1136.5;21.572;101.79;395.78;102.52;434.08
228.12;0.83080;1135.9;21.691;102.08;395.82;102.81;434.12
228.26;0.83549;1135.3;21.810;102.36;395.85;103.10;434.16
228.41;0.84021;1134.8;21.930;102.65;395.88;103.39;434.20
228.56;0.84494;1134.2;22.050;102.94;395.92;103.68;434.24
228.70;0.84970;1133.7;22.171;103.22;395.95;103.97;434.27
228.85;0.85447;1133.1;22.293;103.51;395.98;104.27;434.31
228.99;0.85927;1132.6;22.415;103.80;396.01;104.56;434.35
229.14;0.86408;1132.0;22.537;104.09;396.05;104.85;434.39
229.28;0.86892;1131.4;22.660;104.37;396.08;105.14;434.42
229.43;0.87377;1130.9;22.784;104.66;396.11;105.43;434.46
229.58;0.87865;1130.3;22.908;104.95;396.14;105.72;434.50
229.72;0.88354;1129.8;23.033;105.23;396.17;106.02;434.53
229.87;0.88846;1129.2;23.158;105.52;396.20;106.31;434.57
230.01;0.89339;1128.6;23.284;105.81;396.24;106.60;434.61
230.16;0.89835;1128.1;23.410;106.10;396.27;106.89;434.64
230.31;0.90333;1127.5;23.537;106.38;396.30;107.19;434.68
230.45;0.90832;1126.9;23.664;106.67;396.33;107.48;434.71
