Temperature (K);Pressure (MPa);Liquid Density (l, kg/m3);Vapor Density (v, kg/m3);Liquid Internal Energy (l, kJ/kg);Vapor Internal Energy (v, kJ/kg);Liquid Enthalpy (l, kJ/kg);Vapor Enthalpy (v, kJ/kg)
182.33;0.087837;1237.4;2.6115;-4.1220;339.24;-4.0510;372.87
182.54;0.088990;1236.7;2.6434;-3.7583;339.33;-3.6864;373.00
182.75;0.090155;1236.1;2.6755;-3.3946;339.43;-3.3217;373.13
182.97;0.091332;1235.5;2.7079;-3.0309;339.53;-2.9569;373.25
183.18;0.092521;1234.9;2.7406;-2.6671;339.62;-2.5922;373.38
183.39;0.093722;1234.2;2.7736;-2.3033;339.72;-2.2274;373.51
183.60;0.094936;1233.6;2.8070;-1.9395;339.81;-1.8626;373.64
183.81;0.096162;1233.0;2.8406;-1.5757;339.91;-1.4977;373.76
184.03;0.097400;1232.4;2.8746;-1.2119;340.01;-1.1329;373.89
184.24;0.098651;1231.8;2.9089;-0.84805;340.10;-0.76796;374.02
184.45;0.099915;1231.1;2.9435;-0.48418;340.20;-0.40303;374.14
184.66;0.10119;1230.5;2.9784;-0.12029;340.29;-0.038055;374.27
184.87;0.10248;1229.9;3.0136;0.24362;340.39;0.32695;374.39
185.09;0.10378;1229.3;3.0492;0.60756;340.48;0.69199;374.52
185.30;0.10510;1228.6;3.0851;0.97152;340.58;1.0571;374.65
185.51;0.10643;1228.0;3.1213;1.3355;340.67;1.4222;374.77
185.72;0.10777;1227.4;3.1578;1.6995;340.77;1.7873;374.90
185.93;0.10912;1226.8;3.1947;2.0635;340.86;2.1525;375.02
186.15;0.11049;1226.1;3.2319;2.4276;340.96;2.5177;375.15
186.36;0.11187;1225.5;3.2694;2.7917;341.05;2.8830;375.27
186.57;0.11327;1224.9;3.3073;3.1558;341.15;3.2483;375.40
186.78;0.11468;1224.3;3.3455;3.5199;341.24;3.6136;375.52
186.99;0.11610;1223.6;3.3841;3.8841;341.34;3.9790;375.64
187.21;0.11754;1223.0;3.4230;4.2483;341.43;4.3444;375.77
187.42;0.11899;1222.4;3.4623;4.6125;341.53;4.7098;375.89
187.63;0.12045;1221.7;3.5019;4.9767;341.62;5.0753;376.02
